Year,Name,Team,Position,Game Date,Home or Away,Opponent,Location,Extra Points Made,Extra Points Attempted,Percentage of Extra Points Made
2015,"Succop, Ryan",TEN,K,12/20,Away,NE,Gillete Stadium,1,2,50
2015,"Succop, Ryan",TEN,K,12/27,Home,HOU,Nissan Stadium,--,--,--
2015,"Succop, Ryan",TEN,K,01/03,Away,IND,Lucas Oil Stadium,3,3,100
2015,"Sturgis, Caleb",PHI,K,10/04,Away,WAS,FedExField,2,3,66.7
2015,"Sturgis, Caleb",PHI,K,10/11,Home,NO,Lincoln Financial Field,3,4,75
2015,"Sturgis, Caleb",PHI,K,10/19,Home,NYG,Lincoln Financial Field,3,3,100
2015,"Sturgis, Caleb",PHI,K,10/25,Away,CAR,Bank of America Stadium,1,1,100
2015,"Sturgis, Caleb",PHI,K,11/08,Away,DAL,AT&T Stadium,3,3,100
2015,"Sturgis, Caleb",PHI,K,11/15,Home,MIA,Lincoln Financial Field,2,2,100
2015,"Sturgis, Caleb",PHI,K,11/22,Home,TB,Lincoln Financial Field,2,2,100
2015,"Sturgis, Caleb",PHI,K,11/26,Away,DET,Ford Field,2,2,100
2015,"Sturgis, Caleb",PHI,K,12/06,Away,NE,Gillete Stadium,5,5,100
2015,"Sturgis, Caleb",PHI,K,12/13,Home,BUF,Lincoln Financial Field,2,2,100
2015,"Sturgis, Caleb",PHI,K,12/20,Home,ARI,Lincoln Financial Field,2,2,100
2015,"Sturgis, Caleb",PHI,K,12/26,Home,WAS,Lincoln Financial Field,3,3,100
2015,"Sturgis, Caleb",PHI,K,01/03,Away,NYG,MetLife Stadium,5,5,100
2015,"Catanzaro, Chandler",ARI,K,09/13,Home,NO,State Farm Stadium,4,4,100
2015,"Catanzaro, Chandler",ARI,K,09/20,Away,CHI,Soldier Field,6,7,85.7
2015,"Catanzaro, Chandler",ARI,K,09/27,Home,SF,State Farm Stadium,6,6,100
2015,"Catanzaro, Chandler",ARI,K,10/04,Home,LAR,State Farm Stadium,1,1,100
2015,"Catanzaro, Chandler",ARI,K,10/11,Away,DET,Ford Field,6,6,100
2015,"Catanzaro, Chandler",ARI,K,10/18,Away,PIT,Heinz Field,1,1,100
2015,"Catanzaro, Chandler",ARI,K,10/26,Home,BAL,State Farm Stadium,2,3,66.7
2015,"Catanzaro, Chandler",ARI,K,11/01,Away,CLE,FirstEnergy Stadium,4,4,100
2015,"Catanzaro, Chandler",ARI,K,11/15,Away,SEA,CenturyLink Field,4,4,100
2015,"Catanzaro, Chandler",ARI,K,11/22,Home,CIN,State Farm Stadium,4,4,100
2015,"Catanzaro, Chandler",ARI,K,11/29,Away,SF,Levi's Stadium,1,2,50
2015,"Catanzaro, Chandler",ARI,K,12/06,Away,LAR,Los Angeles Memorial Coliseum,3,3,100
2015,"Catanzaro, Chandler",ARI,K,12/10,Home,MIN,State Farm Stadium,2,2,100
2015,"Catanzaro, Chandler",ARI,K,12/20,Away,PHI,Lincoln Financial Field,4,5,80
2015,"Catanzaro, Chandler",ARI,K,12/27,Home,GB,State Farm Stadium,5,5,100
2015,"Catanzaro, Chandler",ARI,K,01/03,Home,SEA,State Farm Stadium,0,1,0
2015,"Bailey, Dan",DAL,K,09/13,Home,NYG,AT&T Stadium,3,3,100
2015,"Bailey, Dan",DAL,K,09/20,Away,PHI,Lincoln Financial Field,2,2,100
2015,"Bailey, Dan",DAL,K,09/27,Home,ATL,AT&T Stadium,4,4,100
2015,"Bailey, Dan",DAL,K,10/04,Away,NO,Mercedes-Benz Superdome,2,2,100
2015,"Bailey, Dan",DAL,K,10/11,Home,NE,AT&T Stadium,0,0,--
2015,"Bailey, Dan",DAL,K,10/25,Away,NYG,MetLife Stadium,2,2,100
2015,"Bailey, Dan",DAL,K,11/01,Home,SEA,AT&T Stadium,0,0,--
2015,"Bailey, Dan",DAL,K,11/08,Home,PHI,AT&T Stadium,3,3,100
2015,"Bailey, Dan",DAL,K,11/15,Away,TB,Raymond James Stadium,0,0,--
2015,"Bailey, Dan",DAL,K,11/22,Away,MIA,Hard Rock Stadium,3,3,100
2015,"Bailey, Dan",DAL,K,11/26,Home,CAR,AT&T Stadium,0,0,--
2015,"Bailey, Dan",DAL,K,12/07,Away,WAS,FedExField,1,1,100
2015,"Bailey, Dan",DAL,K,12/13,Away,GB,Lambeau Field,1,1,100
2015,"Bailey, Dan",DAL,K,12/19,Home,NYJ,AT&T Stadium,1,1,100
2015,"Bailey, Dan",DAL,K,12/27,Away,BUF,New Era Field,0,0,--
2015,"Bailey, Dan",DAL,K,01/03,Home,WAS,AT&T Stadium,3,3,100
2015,"Lambo, Josh",LAC,K,09/13,Home,DET,StubHub Center,3,4,75
2015,"Lambo, Josh",LAC,K,09/20,Away,CIN,Paul Brown Stadium,1,1,100
2015,"Lambo, Josh",LAC,K,09/27,Away,MIN,U.S. Bank Stadium,2,2,100
2015,"Lambo, Josh",LAC,K,10/04,Home,CLE,StubHub Center,3,3,100
2015,"Lambo, Josh",LAC,K,10/12,Home,PIT,StubHub Center,2,2,100
2015,"Lambo, Josh",LAC,K,10/18,Away,GB,Lambeau Field,2,2,100
2015,"Lambo, Josh",LAC,K,10/25,Home,OAK,StubHub Center,1,1,100
2015,"Lambo, Josh",LAC,K,11/01,Away,BAL,M&T Bank Stadium,2,3,66.7
2015,"Lambo, Josh",LAC,K,11/09,Home,CHI,StubHub Center,1,2,50
2015,"Lambo, Josh",LAC,K,11/22,Home,KC,StubHub Center,0,0,--
2015,"Lambo, Josh",LAC,K,11/29,Away,JAX,Los Angeles Memorial Coliseum,4,4,100
2015,"Lambo, Josh",LAC,K,12/06,Home,DEN,StubHub Center,0,0,--
2015,"Lambo, Josh",LAC,K,12/13,Away,KC,Arrowhead Stadium,0,0,--
2015,"Lambo, Josh",LAC,K,12/20,Home,MIA,StubHub Center,3,4,75
2015,"Lambo, Josh",LAC,K,12/24,Away,OAK,Oakland–Alameda County Coliseum,2,2,100
2015,"Lambo, Josh",LAC,K,01/03,Away,DEN,Broncos Stadium at Mile High,2,2,100
2015,"McManus, Brandon",DEN,K,09/13,Home,BAL,Broncos Stadium at Mile High,1,1,100
2015,"McManus, Brandon",DEN,K,09/17,Away,KC,Arrowhead Stadium,4,4,100
2015,"McManus, Brandon",DEN,K,09/27,Away,DET,Ford Field,3,3,100
2015,"McManus, Brandon",DEN,K,10/04,Home,MIN,Broncos Stadium at Mile High,2,2,100
2015,"McManus, Brandon",DEN,K,10/11,Away,OAK,Oakland–Alameda County Coliseum,1,1,100
2015,"McManus, Brandon",DEN,K,10/18,Away,CLE,FirstEnergy Stadium,2,2,100
2015,"McManus, Brandon",DEN,K,11/01,Home,GB,Broncos Stadium at Mile High,3,3,100
2015,"McManus, Brandon",DEN,K,11/08,Away,IND,Lucas Oil Stadium,3,3,100
2015,"McManus, Brandon",DEN,K,11/15,Home,KC,Broncos Stadium at Mile High,1,1,100
2015,"McManus, Brandon",DEN,K,11/22,Away,CHI,Soldier Field,2,2,100
2015,"McManus, Brandon",DEN,K,11/29,Home,NE,Broncos Stadium at Mile High,3,3,100
2015,"McManus, Brandon",DEN,K,12/06,Away,LAC,StubHub Center,2,2,100
2015,"McManus, Brandon",DEN,K,12/13,Home,OAK,Broncos Stadium at Mile High,0,0,--
2015,"McManus, Brandon",DEN,K,12/20,Away,PIT,Heinz Field,3,4,75
2015,"McManus, Brandon",DEN,K,12/28,Home,CIN,Broncos Stadium at Mile High,2,2,100
2015,"McManus, Brandon",DEN,K,01/03,Home,LAC,Broncos Stadium at Mile High,3,3,100
